Contact Person,DOB,Phone No.,Enterprise Name,Legal Structure,Business PAN,GSTIN,Udyam Reg. No.,District,State
Tanvi Verma,22-04-1982,+91 66020 61389,Vertex Techno Fab Pvt Ltd,Pvt Ltd,AAXCV8260F,29AAXCV8260F3ZF,UDYAM-KR-25-6820714,Hubballi,Karnataka
Rahul Mehta,21-12-1999,+91 87642 20499,Nova Gear Works Enterprises,Enterprises,ULMPM6834E,27ULMPM6834E8ZH,UDYAM-MH-27-6522130,Nashik,Maharashtra
Pooja Gupta,06-02-1991,+91 77946 62166,ZenPack Agro Mills Enterprises,Enterprises,VRYPG7845F,32VRYPG7845F7Z8,UDYAM-KL-18-4377884,Kozhikode,Kerala
Arjun Mehta,13-02-1985,+91 70474 65250,Vertex Solar Solutions Pvt Ltd,Pvt Ltd,NETCV9183U,24NETCV9183U9Z0,UDYAM-GJ-06-5619901,Surat,Gujarat
Neha Sharma,20-08-1988,+91 86349 04349,Trident Agro Mills Enterprises,Enterprises,INEPS3240A,27INEPS3240A8ZP,UDYAM-MH-24-4719951,Pune,Maharashtra
Rohan Mehta,05-03-1965,+91 94709 76339,Surya Techno Fab Enterprises,Enterprises,QLZPM4697T,23QLZPM4697T8Z6,UDYAM-MP-13-7252815,Bhopal,Madhya Pradesh
Aarav Bose,31-07-1979,+91 78086 40904,Trident Logistics Pvt Ltd,Pvt Ltd,VSBCT2977X,23VSBCT2977X5ZZ,UDYAM-MP-16-1079552,Bhopal,Madhya Pradesh
Arjun Mehta,02-12-1996,+91 70632 50513,Vertex Infotech LLP,LLP,EZIFV2118R,19EZIFV2118R8ZZ,UDYAM-WB-28-7765746,Siliguri,West Bengal
Sneha Mehta,13-07-2002,+91 79490 41540,Vertex Techno Fab Enterprises,Enterprises,UQVPM9761Z,33UQVPM9761Z2Z6,UDYAM-TN-04-8384796,Madurai,Tamil Nadu
Tanvi Sharma,06-08-1982,+91 71646 06140,Nova Logistics Pvt Ltd,Pvt Ltd,TYKCN5150V,08TYKCN5150V2ZR,UDYAM-RJ-12-6532921,Jaipur,Rajasthan
Ananya Nair,20-06-1983,+91 66767 93784,Shri Ganesh Techno Fab Enterprises,Enterprises,XRDPN1067H,27XRDPN1067H4ZO,UDYAM-MH-34-7981571,Nashik,Maharashtra
Rohan Reddy,14-01-1995,+91 73993 77347,Vertex Logistics Enterprises,Enterprises,NHQPR1012K,23NHQPR1012K6Z7,UDYAM-MP-35-3669499,Indore,Madhya Pradesh
Pooja Chatterjee,30-12-1981,+91 94589 95594,Vanguard Logistics Pvt Ltd,Pvt Ltd,YHKCV9329B,09YHKCV9329B6ZA,UDYAM-UP-19-2627172,Lucknow,Uttar Pradesh
Meera Verma,28-05-1987,+91 67153 77217,EcoClean Infotech LLP,LLP,JNOFE9672R,24JNOFE9672R4ZF,UDYAM-GJ-08-5153243,Ahmedabad,Gujarat
Meera Bose,28-05-1973,+91 81643 11174,ZenPack Logistics Enterprises,Enterprises,JABPB4480C,09JABPB4480C2Z7,UDYAM-UP-31-8892898,Lucknow,Uttar Pradesh
Neha Das,04-06-1976,+91 78976 94566,Surya Techno Fab LLP,LLP,PITFS8535G,29PITFS8535G6ZP,UDYAM-KR-22-3735640,Mangaluru,Karnataka
Meera Patel,25-11-1974,+91 91630 07512,Precision Agro Mills Pvt Ltd,Pvt Ltd,UGRCP7644T,09UGRCP7644T8ZT,UDYAM-UP-07-2603309,Varanasi,Uttar Pradesh
Gaurav Bose,05-06-1979,+91 68465 58727,Apex Textiles LLP,LLP,NEKFA5988O,23NEKFA5988O4Z2,UDYAM-MP-19-1380982,Bhopal,Madhya Pradesh
Vikram Singh,29-11-1977,+91 84397 04497,Evergreen Gear Works LLP,LLP,VJGFE6188K,19VJGFE6188K7ZK,UDYAM-WB-31-6524910,Siliguri,West Bengal
Siddharth Kulkarni,11-05-1976,+91 93523 53143,Lotus Agro Mills Pvt Ltd,Pvt Ltd,OFECL5426I,29OFECL5426I7ZC,UDYAM-KR-07-3291101,Mysuru,Karnataka
Pooja Patel,28-06-1992,+91 74667 84784,Vanguard Gear Works Enterprises,Enterprises,FUPPP9320V,27FUPPP9320V8ZQ,UDYAM-MH-10-6264962,Pune,Maharashtra
Rohan Verma,16-07-1967,+91 89462 80070,ZenPack Metal Castings Enterprises,Enterprises,UTAPV2283X,29UTAPV2283X8Z5,UDYAM-KR-14-3399874,Mysuru,Karnataka
Nikhil Bose,29-03-1987,+91 62548 54740,Surya Polymers LLP,LLP,ZLRFS9921S,33ZLRFS9921S2ZK,UDYAM-TN-08-7146788,Coimbatore,Tamil Nadu
Arjun Reddy,15-07-1965,+91 78947 70884,Nova Polymers LLP,LLP,LEWFN8493B,08LEWFN8493B3ZC,UDYAM-RJ-19-5767365,Jodhpur,Rajasthan
Rohan Bose,20-11-1991,+91 83111 66832,Apex Bio Remedies Enterprises,Enterprises,ZBMPB5141J,29ZBMPB5141J1Z4,UDYAM-KR-24-8247693,Bengaluru,Karnataka
Siddharth Reddy,10-04-1978,+91 65366 99742,Apex Textiles Pvt Ltd,Pvt Ltd,TTECA7562I,09TTECA7562I8ZO,UDYAM-UP-24-3990878,Varanasi,Uttar Pradesh
Rajesh Sharma,28-11-1985,+91 61322 75410,Precision Logistics Pvt Ltd,Pvt Ltd,RXYCP8196L,09RXYCP8196L7ZA,UDYAM-UP-18-7654402,Noida,Uttar Pradesh
Arjun Chauhan,14-04-1988,+91 99070 45268,Matrix Polymers LLP,LLP,KCLFM7637Q,09KCLFM7637Q8Z3,UDYAM-UP-23-1977557,Noida,Uttar Pradesh
Arjun Joshi,25-08-1977,+91 97467 86860,Lotus Agro Mills Enterprises,Enterprises,DWMPJ9481E,27DWMPJ9481E2ZI,UDYAM-MH-01-1591740,Mumbai,Maharashtra
Rohan Chauhan,26-07-1974,+91 84548 91900,EcoClean Infotech LLP,LLP,FTLFE1078S,24FTLFE1078S4ZA,UDYAM-GJ-03-9373358,Ahmedabad,Gujarat
Rajesh Nair,03-05-1992,+91 75369 33351,Evergreen Polymers Enterprises,Enterprises,JMRPN3383G,33JMRPN3383G3ZT,UDYAM-TN-14-6102402,Madurai,Tamil Nadu
Nikhil Reddy,17-11-1990,+91 72165 97342,Surya Textiles LLP,LLP,LCRFS6084A,33LCRFS6084A6Z7,UDYAM-TN-32-3928621,Salem,Tamil Nadu
Sneha Reddy,05-10-1993,+91 89991 98023,Shri Ganesh Infotech Pvt Ltd,Pvt Ltd,SNHCS4634D,36SNHCS4634D5ZA,UDYAM-TS-25-6007087,Hyderabad,Telangana
Pooja Verma,18-08-1980,+91 67542 51998,Nova Techno Fab Enterprises,Enterprises,PIAPV9103G,36PIAPV9103G8ZT,UDYAM-TS-31-1508072,Hyderabad,Telangana
Pooja Chatterjee,24-03-1978,+91 90222 85312,Vertex Plastics Enterprises,Enterprises,LUAPC3116G,36LUAPC3116G6ZA,UDYAM-TS-07-4756251,Warangal,Telangana
Rahul Chatterjee,27-05-1979,+91 68157 59077,ZenPack Techno Fab Pvt Ltd,Pvt Ltd,VIACZ4615G,27VIACZ4615G2ZR,UDYAM-MH-32-5880325,Nashik,Maharashtra
Neha Chatterjee,11-09-1985,+91 65765 05096,Precision Solar Solutions Enterprises,Enterprises,LQEPC3852S,09LQEPC3852S2ZE,UDYAM-UP-13-7647649,Noida,Uttar Pradesh
Vikram Patel,20-11-1984,+91 89084 96564,Pioneer Techno Fab LLP,LLP,LJPFP4031G,19LJPFP4031G4ZT,UDYAM-WB-02-9285985,Siliguri,West Bengal
Vikram Patel,18-07-1991,+91 79888 34875,Pioneer Gear Works Enterprises,Enterprises,CKZPP1534Q,32CKZPP1534Q8Z7,UDYAM-KL-34-2240589,Kozhikode,Kerala
Priya Patel,05-09-1976,+91 97969 45101,Shri Ganesh Metal Castings Pvt Ltd,Pvt Ltd,VISCS9164O,08VISCS9164O4ZI,UDYAM-RJ-34-2566460,Kota,Rajasthan
Priya Sharma,04-06-1965,+91 84402 20187,BlueCraft Plastics Pvt Ltd,Pvt Ltd,KGHCB3127N,27KGHCB3127N4ZR,UDYAM-MH-23-9169910,Pune,Maharashtra
Aarav Singh,11-10-1993,+91 90972 84727,BlueCraft Logistics LLP,LLP,YVLFB4694S,08YVLFB4694S3Z7,UDYAM-RJ-29-4074905,Jaipur,Rajasthan
Priya Chauhan,24-09-1970,+91 91010 99584,Shri Ganesh Polymers LLP,LLP,KDRFS5059T,36KDRFS5059T3Z8,UDYAM-TS-18-1995396,Nizamabad,Telangana
Priya Bose,26-01-1999,+91 69986 77140,Precision Techno Fab LLP,LLP,RGFFP9013M,27RGFFP9013M7ZN,UDYAM-MH-20-1508522,Nashik,Maharashtra
Pooja Kulkarni,06-04-1999,+91 61209 05598,Pioneer Agro Mills Pvt Ltd,Pvt Ltd,UBUCP1363A,08UBUCP1363A9ZN,UDYAM-RJ-23-9424292,Kota,Rajasthan
Vikram Das,14-03-1980,+91 98149 46241,Trident Textiles Enterprises,Enterprises,XQFPD6493Y,23XQFPD6493Y4ZR,UDYAM-MP-29-1860821,Gwalior,Madhya Pradesh
Vikram Nair,01-08-1987,+91 74565 09018,Nova Gear Works Enterprises,Enterprises,INBPN8810I,09INBPN8810I8ZS,UDYAM-UP-17-7380218,Varanasi,Uttar Pradesh
Rajesh Verma,05-10-2000,+91 97030 92777,Apex Polymers LLP,LLP,HIKFA6240G,36HIKFA6240G2Z5,UDYAM-TS-14-6836126,Hyderabad,Telangana
Tanvi Sharma,11-04-1979,+91 78862 57569,Pioneer Agro Mills Enterprises,Enterprises,GVOPS5782J,33GVOPS5782J3ZE,UDYAM-TN-24-7494944,Chennai,Tamil Nadu
Priya Sharma,24-09-2000,+91 96486 42334,Surya Agro Mills Enterprises,Enterprises,YKMPS4459T,19YKMPS4459T6ZC,UDYAM-WB-22-2522080,Durgapur,West Bengal
Sneha Das,13-04-1978,+91 84507 05567,Vertex Logistics Pvt Ltd,Pvt Ltd,OTLCV2518Q,36OTLCV2518Q9ZE,UDYAM-TS-18-8183667,Hyderabad,Telangana
Aarav Sharma,30-12-1976,+91 76041 97562,Vanguard Techno Fab Pvt Ltd,Pvt Ltd,RQACV2045X,33RQACV2045X7Z3,UDYAM-TN-35-6382846,Chennai,Tamil Nadu
Ananya Singh,16-07-1983,+91 91296 33322,Trident Solar Solutions Pvt Ltd,Pvt Ltd,QDWCT6940S,27QDWCT6940S1Z4,UDYAM-MH-18-7893461,Nashik,Maharashtra
Arjun Verma,06-07-1997,+91 60346 64981,ZenPack Techno Fab Enterprises,Enterprises,LDIPV3022A,19LDIPV3022A9ZV,UDYAM-WB-32-1025194,Howrah,West Bengal
Aarav Nair,14-01-1986,+91 95018 72438,ZenPack Gear Works LLP,LLP,UBTFZ4571L,09UBTFZ4571L2Z6,UDYAM-UP-01-2557769,Noida,Uttar Pradesh
Vikram Chatterjee,13-02-1973,+91 74517 31579,BlueCraft Agro Mills Pvt Ltd,Pvt Ltd,FMHCB7711P,24FMHCB7711P8Z9,UDYAM-GJ-07-6407957,Surat,Gujarat
Sneha Chatterjee,18-02-1986,+91 60236 30860,Matrix Logistics LLP,LLP,WTWFM3225T,23WTWFM3225T8ZG,UDYAM-MP-05-6998136,Jabalpur,Madhya Pradesh
Siddharth Gupta,01-02-1974,+91 67834 90990,Pioneer Bio Remedies Enterprises,Enterprises,XPMPG4915I,23XPMPG4915I2ZA,UDYAM-MP-35-4563767,Gwalior,Madhya Pradesh
Aarav Das,11-11-1978,+91 61367 59749,Vertex Solar Solutions Enterprises,Enterprises,YPCPD8051L,09YPCPD8051L4ZX,UDYAM-UP-28-7124934,Lucknow,Uttar Pradesh
Rajesh Sharma,03-03-1974,+91 87340 06669,ZenPack Logistics Pvt Ltd,Pvt Ltd,NCACZ3133J,24NCACZ3133J8Z7,UDYAM-GJ-28-2958141,Ahmedabad,Gujarat
Rahul Singh,14-03-2000,+91 91858 66406,Vanguard Gear Works Enterprises,Enterprises,KUPPS9805U,27KUPPS9805U4Z9,UDYAM-MH-02-7883261,Mumbai,Maharashtra
Priya Bose,25-12-1970,+91 60421 26318,Pioneer Polymers Enterprises,Enterprises,JVQPB5487R,19JVQPB5487R8ZE,UDYAM-WB-14-1896290,Kolkata,West Bengal
Rohan Chatterjee,09-12-1983,+91 86406 37859,Trident Techno Fab Enterprises,Enterprises,FEOPC2557H,24FEOPC2557H8Z7,UDYAM-GJ-28-6636966,Rajkot,Gujarat
Tanvi Chatterjee,14-03-1988,+91 82543 89563,Pioneer Gear Works Pvt Ltd,Pvt Ltd,XFVCP5877D,29XFVCP5877D1ZC,UDYAM-KR-03-8627186,Mangaluru,Karnataka
Sneha Sharma,12-07-1973,+91 93469 49014,Nova Bio Remedies LLP,LLP,DRCFN3846I,23DRCFN3846I6ZV,UDYAM-MP-26-8846761,Jabalpur,Madhya Pradesh
Pooja Singh,16-02-1966,+91 97376 59711,Vertex Plastics LLP,LLP,GXQFV7165R,24GXQFV7165R2ZM,UDYAM-GJ-19-1996740,Surat,Gujarat
Aarav Iyer,25-07-1993,+91 92665 48369,Apex Textiles LLP,LLP,BSAFA4129E,09BSAFA4129E9ZT,UDYAM-UP-10-7237846,Kanpur,Uttar Pradesh
Priya Chatterjee,12-06-1968,+91 78841 28386,Surya Bio Remedies Pvt Ltd,Pvt Ltd,WQJCS1970R,27WQJCS1970R9ZL,UDYAM-MH-24-6353968,Mumbai,Maharashtra
Ananya Verma,30-03-2001,+91 80195 53360,EcoClean Textiles Pvt Ltd,Pvt Ltd,FWGCE8771B,09FWGCE8771B3Z1,UDYAM-UP-09-4219156,Lucknow,Uttar Pradesh
Rohan Singh,12-06-1983,+91 91260 71617,Nova Textiles Pvt Ltd,Pvt Ltd,HJQCN8446Q,08HJQCN8446Q9Z7,UDYAM-RJ-04-2878466,Udaipur,Rajasthan
Vikram Nair,19-10-1968,+91 92049 98825,Pioneer Metal Castings Enterprises,Enterprises,GDVPN7515P,29GDVPN7515P7ZH,UDYAM-KR-23-1403829,Mysuru,Karnataka
Sneha Bose,10-05-1980,+91 79521 30353,Nova Bio Remedies LLP,LLP,ELRFN2762K,27ELRFN2762K4ZV,UDYAM-MH-20-9216640,Nagpur,Maharashtra
Rahul Das,05-08-2002,+91 89903 39633,Nova Bio Remedies LLP,LLP,GAXFN7043Y,36GAXFN7043Y9Z7,UDYAM-TS-26-7145449,Warangal,Telangana
Rohan Joshi,04-07-1989,+91 93565 14928,Apex Metal Castings LLP,LLP,ZXHFA9071T,27ZXHFA9071T2ZV,UDYAM-MH-33-5634658,Nashik,Maharashtra
Aarav Kulkarni,21-09-1985,+91 96400 33849,ZenPack Gear Works Enterprises,Enterprises,ULTPK4900E,32ULTPK4900E8Z9,UDYAM-KL-23-1201317,Thiruvananthapuram,Kerala
Priya Chatterjee,19-12-1992,+91 79775 05696,Shri Ganesh Solar Solutions LLP,LLP,WQZFS5771Y,09WQZFS5771Y7ZJ,UDYAM-UP-21-7356893,Noida,Uttar Pradesh
Vikram Nair,11-07-1982,+91 99334 27805,Precision Bio Remedies Pvt Ltd,Pvt Ltd,XMPCP2046M,27XMPCP2046M8ZI,UDYAM-MH-05-6388737,Nagpur,Maharashtra
